model number,number of steady states,number of runs that converged,AMPK,mTOR,SNAIL ,ZEB,miR200,miR34
189,1,100,4.515092,-2.212161,-5.296752,-11.584985,6.715289,3.829493
190,1,100,0.813369,6.358971,0.222463,8.659549,-3.331073,7.478913
191,2,49,3.162007,6.344252,-0.090073,7.520284,-0.246266,0.801062
191,2,51,4.001859,2.210245,-4.094139,-11.696679,6.993991,6.252577
192,2,94,1.027833,5.640533,0.874715,8.745564,-3.80358,0.935652
192,2,6,2.370666,-0.25181,-3.37099,-14.727371,3.72878,6.007169
193,3,5,2.539398,2.928037,-1.441868,-9.682277,4.566831,6.64218
193,3,50,1.064481,6.084704,1.022333,7.290308,-4.277464,0.611822
193,3,45,5.115398,-6.545073,-8.976891,-20.779503,7.695516,6.770249
194,1,100,5.155681,-6.600544,-9.007551,-16.79148,6.125256,7.817089
195,1,100,4.579227,0.5147,-8.035676,-19.83795,6.224489,7.59708
196,2,87,2.638827,2.299808,-0.658038,8.068524,-0.709167,2.233906
196,2,13,2.877098,-2.058767,-7.057599,-12.73612,5.969149,7.896256
197,2,81,3.95248,-1.399685,-8.333327,-18.360881,0.45058,8.411125
197,2,19,3.30014,5.046298,0.904074,4.880942,-11.962025,3.749982
198,1,100,1.028486,6.290408,1.671511,9.170013,-4.214115,0.951617
199,1,100,4.159466,2.710695,-0.988959,1.835279,-2.376611,3.123458
200,1,100,-0.744494,7.821773,3.770559,9.424471,2.420086,0.876896
201,1,100,-4.877126,6.538051,3.360599,8.793115,-11.558048,1.268972
202,1,100,-1.122648,7.214467,1.831583,11.038686,-6.389175,-0.148833
203,3,64,3.750373,-2.264458,-3.895887,-11.36781,6.988006,6.153094
203,3,14,3.705855,0.518676,-0.001429,-7.065577,4.46432,3.355319
203,3,22,3.705855,0.518676,-0.001429,3.195327,-1.13692,3.355318
204,1,100,3.918765,-3.817429,-6.193927,-10.929668,1.768975,5.227597
205,1,100,4.652453,-8.581756,-7.377465,-11.238842,7.152949,4.058762
206,1,100,-1.489876,6.305711,1.216653,12.033952,-5.460096,0.956833
207,3,33,1.761509,5.504322,2.069462,-7.846899,3.836336,0.631494
207,3,50,4.859721,-3.089852,-4.28299,-26.109012,7.217835,7.027911
207,3,17,1.761509,5.504322,2.069462,3.57102,-2.750073,0.631494
208,1,100,2.876006,-0.641032,-1.252437,-9.810051,3.965734,7.268911
209,2,36,3.865175,4.392024,1.352548,8.77952,-2.453007,3.638836
209,2,64,4.487974,1.021571,-4.426965,4.07089,0.726381,5.54574
210,1,100,6.155418,-1.633115,-2.435721,-10.469049,4.31336,3.12971
211,2,45,2.874489,0.028894,-4.150427,-15.534777,4.485824,6.656898
211,2,55,2.689719,3.410839,2.400556,9.786108,-7.709568,2.612836
212,1,100,-0.217383,6.566556,2.696763,4.510329,-6.868453,0.576086
213,1,100,4.179852,-0.162355,-5.716176,-10.717472,6.424567,7.109178
214,1,100,4.031977,-6.255926,-5.697652,-19.741142,2.951644,6.722637
215,1,100,3.353418,-1.332921,-9.209571,-16.340042,6.522579,7.277206
216,1,100,2.210346,-0.227121,0.466461,-19.657144,3.412903,5.588907
217,1,100,3.102525,6.519863,1.191716,8.848812,-6.068607,-0.733236
218,1,100,0.844794,8.981614,1.459188,9.136061,-10.919426,2.375419
219,2,19,5.46621,-2.907262,-8.523233,-17.528598,2.245551,6.4896
219,2,81,1.576701,6.493436,0.766408,6.841797,-5.872064,1.239813
220,1,100,2.467718,-3.055082,-4.572481,-10.895732,-0.957582,7.486155
221,1,100,4.016934,-8.730418,-11.438786,-17.360171,4.712523,8.709646
222,1,100,3.12224,5.762984,1.51971,9.008726,-4.888621,1.072899
223,2,44,1.902664,1.970178,-4.417236,-11.104091,1.2334,7.660623
223,2,56,-1.871018,7.408396,2.802087,7.463312,-9.883646,2.466597
224,2,72,3.725789,-3.559028,-4.400588,-21.162648,5.705699,4.660249
224,2,28,1.724732,4.232884,-0.458262,5.694956,-5.284237,3.927617
225,3,74,2.624988,5.036859,1.523819,-5.203191,4.835337,1.791259
225,3,21,2.624988,5.036859,1.523819,6.47624,-1.774441,1.79126
225,3,5,2.624988,5.036859,1.523819,-0.267838,3.508907,1.791259
226,1,100,4.049571,-5.294488,-11.226245,-18.799827,6.676013,7.641816
227,3,19,4.527745,-0.685206,-7.052599,-9.28019,7.923904,7.239261
227,3,61,4.086066,1.989685,1.071992,5.538323,-3.209486,2.849347
227,3,20,4.086066,1.989685,1.071992,-1.803064,3.396362,2.849347
228,2,59,4.396131,-5.898086,-8.378861,-18.612705,5.636821,5.559925
228,2,41,1.173009,5.039068,1.470019,7.226256,-6.292451,1.300486
229,2,28,0.89024,6.192297,-0.171194,7.198835,-7.131149,8.031976
229,2,72,4.696407,-3.81125,-6.562183,-19.842207,4.41661,8.53793
230,2,98,1.220514,9.716998,4.03839,11.576046,-5.513607,1.786264
230,2,2,4.064062,-0.3562,-6.456865,-16.921282,6.163954,7.309695
231,1,100,2.828426,0.67106,-5.681672,-11.393118,6.639806,7.074438
232,1,100,3.82188,-2.023473,-8.229317,-15.08641,7.007283,6.712499
233,1,100,0.67483,8.308155,2.786737,9.49144,-4.43666,0.244814
234,1,100,4.829926,-4.178357,-3.193419,-16.6369,8.217215,4.688295
235,3,78,3.732485,-2.382617,-5.367742,-15.159195,6.417599,5.712662
235,3,15,2.842135,3.696112,0.92202,4.881611,-1.677565,0.322601
235,3,7,2.842136,3.696111,0.922019,-1.696318,0.597185,0.322602
